Summary of the training: 
(' ave_R ', 132.74, ' std_R ', 126.16, ' min_R ', -6.22, ' max_R ', 647.25, ' times ', 5641077, ' epi', 5900, ' clock ', 3.95, ' min')
(' ave_R ', 133.16, ' std_R ', 121.53, ' min_R ', -6.22, ' max_R ', 647.25, ' times ', 5889048, ' epi', 6000, ' clock ', 4.08, ' min')
(' ave_R ', 137.16, ' std_R ', 120.76, ' min_R ', -6.22, ' max_R ', 647.25, ' times ', 6141877, ' epi', 6100, ' clock ', 4.21, ' min')
(' ave_R ', 152.27, ' std_R ', 130.44, ' min_R ', -6.22, ' max_R ', 675.22, ' times ', 6383379, ' epi', 6200, ' clock ', 4.35, ' min')
(' ave_R ', 144.7, ' std_R ', 126.85, ' min_R ', -6.22, ' max_R ', 675.22, ' times ', 6589323, ' epi', 6300, ' clock ', 4.47, ' min')
(' ave_R ', 155.64, ' std_R ', 139.67, ' min_R ', -6.22, ' max_R ', 986.87, ' times ', 6841764, ' epi', 6400, ' clock ', 4.6, ' min')
(' ave_R ', 153.54, ' std_R ', 140.14, ' min_R ', -6.22, ' max_R ', 986.87, ' times ', 7049579, ' epi', 6500, ' clock ', 4.72, ' min')
(' ave_R ', 155.45, ' std_R ', 138.64, ' min_R ', -6.22, ' max_R ', 986.87, ' times ', 7335563, ' epi', 6600, ' clock ', 4.88, ' min')
(' ave_R ', 162.21, ' std_R ', 142.63, ' min_R ', -6.22, ' max_R ', 986.87, ' times ', 7560395, ' epi', 6700, ' clock ', 5.0, ' min')
(' ave_R ', 162.03, ' std_R ', 139.62, ' min_R ', -2.87, ' max_R ', 986.87, ' times ', 7798156, ' epi', 6800, ' clock ', 5.13, ' min')
(' ave_R ', 155.52, ' std_R ', 147.13, ' min_R ', -6.6, ' max_R ', 986.87, ' times ', 8033324, ' epi', 6900, ' clock ', 5.26, ' min')
(' ave_R ', 160.16, ' std_R ', 157.29, ' min_R ', -6.6, ' max_R ', 986.87, ' times ', 8262737, ' epi', 7000, ' clock ', 5.39, ' min')
(' ave_R ', 162.07, ' std_R ', 164.57, ' min_R ', -6.6, ' max_R ', 986.87, ' times ', 8505252, ' epi', 7100, ' clock ', 5.53, ' min')
