Summary of the training: 
(' ave_R ', 804.27, ' std_R ', 358.02, ' min_R ', 31.45, ' max_R ', 1767.68, ' times ', 223864023, ' epi', 90400, ' clock ', 120.08, ' min')
(' ave_R ', 816.9, ' std_R ', 365.6, ' min_R ', 31.45, ' max_R ', 1767.68, ' times ', 224135652, ' epi', 90500, ' clock ', 120.22, ' min')
(' ave_R ', 832.26, ' std_R ', 359.04, ' min_R ', 34.76, ' max_R ', 1767.68, ' times ', 224421192, ' epi', 90600, ' clock ', 120.37, ' min')
(' ave_R ', 837.36, ' std_R ', 346.41, ' min_R ', -0.07, ' max_R ', 1767.68, ' times ', 224675491, ' epi', 90700, ' clock ', 120.51, ' min')
(' ave_R ', 829.61, ' std_R ', 354.48, ' min_R ', -0.07, ' max_R ', 1767.68, ' times ', 224947747, ' epi', 90800, ' clock ', 120.65, ' min')
(' ave_R ', 804.9, ' std_R ', 356.15, ' min_R ', -0.15, ' max_R ', 1767.68, ' times ', 225196142, ' epi', 90900, ' clock ', 120.79, ' min')
(' ave_R ', 785.97, ' std_R ', 349.67, ' min_R ', -0.15, ' max_R ', 1498.22, ' times ', 225445254, ' epi', 91000, ' clock ', 120.93, ' min')
(' ave_R ', 797.81, ' std_R ', 353.18, ' min_R ', -0.15, ' max_R ', 1498.22, ' times ', 225686120, ' epi', 91100, ' clock ', 121.07, ' min')
(' ave_R ', 814.44, ' std_R ', 350.59, ' min_R ', -0.15, ' max_R ', 1498.22, ' times ', 225972941, ' epi', 91200, ' clock ', 121.22, ' min')
(' ave_R ', 794.48, ' std_R ', 348.74, ' min_R ', -0.15, ' max_R ', 1493.98, ' times ', 226226446, ' epi', 91300, ' clock ', 121.36, ' min')
(' ave_R ', 786.86, ' std_R ', 345.51, ' min_R ', -0.15, ' max_R ', 1493.98, ' times ', 226489958, ' epi', 91400, ' clock ', 121.49, ' min')
(' ave_R ', 770.23, ' std_R ', 341.97, ' min_R ', -0.15, ' max_R ', 1493.98, ' times ', 226741765, ' epi', 91500, ' clock ', 121.63, ' min')
(' ave_R ', 750.37, ' std_R ', 352.26, ' min_R ', -0.15, ' max_R ', 1493.98, ' times ', 226994199, ' epi', 91600, ' clock ', 121.76, ' min')
(' ave_R ', 766.73, ' std_R ', 354.59, ' min_R ', -0.15, ' max_R ', 1493.98, ' times ', 227261222, ' epi', 91700, ' clock ', 121.9, ' min')
(' ave_R ', 755.87, ' std_R ', 355.62, ' min_R ', -0.15, ' max_R ', 1493.98, ' times ', 227511697, ' epi', 91800, ' clock ', 122.04, ' min')
(' ave_R ', 779.42, ' std_R ', 356.14, ' min_R ', 35.9, ' max_R ', 1493.98, ' times ', 227792189, ' epi', 91900, ' clock ', 122.18, ' min')
(' ave_R ', 792.96, ' std_R ', 345.31, ' min_R ', 35.9, ' max_R ', 1487.17, ' times ', 228081131, ' epi', 92000, ' clock ', 122.33, ' min')
(' ave_R ', 791.94, ' std_R ', 338.77, ' min_R ', 67.26, ' max_R ', 1487.17, ' times ', 228332636, ' epi', 92100, ' clock ', 122.46, ' min')
(' ave_R ', 789.0, ' std_R ', 341.01, ' min_R ', 64.29, ' max_R ', 1487.17, ' times ', 228605287, ' epi', 92200, ' clock ', 122.6, ' min')
(' ave_R ', 817.16, ' std_R ', 354.86, ' min_R ', 64.29, ' max_R ', 1564.78, ' times ', 228867844, ' epi', 92300, ' clock ', 122.74, ' min')
(' ave_R ', 814.34, ' std_R ', 350.1, ' min_R ', 64.29, ' max_R ', 1564.78, ' times ', 229140121, ' epi', 92400, ' clock ', 122.88, ' min')
(' ave_R ', 802.85, ' std_R ', 358.77, ' min_R ', 37.62, ' max_R ', 1564.78, ' times ', 229415633, ' epi', 92500, ' clock ', 123.02, ' min')
(' ave_R ', 819.31, ' std_R ', 367.15, ' min_R ', 37.62, ' max_R ', 1714.43, ' times ', 229653704, ' epi', 92600, ' clock ', 123.15, ' min')
(' ave_R ', 791.08, ' std_R ', 365.99, ' min_R ', 5.83, ' max_R ', 1714.43, ' times ', 229894080, ' epi', 92700, ' clock ', 123.29, ' min')
(' ave_R ', 819.45, ' std_R ', 376.62, ' min_R ', 5.83, ' max_R ', 1722.35, ' times ', 230164946, ' epi', 92800, ' clock ', 123.43, ' min')
(' ave_R ', 813.07, ' std_R ', 373.7, ' min_R ', 5.83, ' max_R ', 1722.35, ' times ', 230426476, ' epi', 92900, ' clock ', 123.58, ' min')
(' ave_R ', 811.03, ' std_R ', 376.02, ' min_R ', 5.83, ' max_R ', 1722.35, ' times ', 230707846, ' epi', 93000, ' clock ', 123.72, ' min')
(' ave_R ', 830.0, ' std_R ', 375.04, ' min_R ', 5.83, ' max_R ', 1722.35, ' times ', 230992964, ' epi', 93100, ' clock ', 123.87, ' min')
(' ave_R ', 829.64, ' std_R ', 377.37, ' min_R ', 5.83, ' max_R ', 1722.35, ' times ', 231256658, ' epi', 93200, ' clock ', 124.01, ' min')
(' ave_R ', 812.38, ' std_R ', 366.55, ' min_R ', 5.83, ' max_R ', 1722.35, ' times ', 231513859, ' epi', 93300, ' clock ', 124.14, ' min')
(' ave_R ', 815.79, ' std_R ', 384.58, ' min_R ', 5.83, ' max_R ', 1722.35, ' times ', 231738941, ' epi', 93400, ' clock ', 124.27, ' min')
(' ave_R ', 833.81, ' std_R ', 377.35, ' min_R ', 5.83, ' max_R ', 1722.35, ' times ', 231989469, ' epi', 93500, ' clock ', 124.4, ' min')
(' ave_R ', 835.13, ' std_R ', 365.58, ' min_R ', 5.83, ' max_R ', 1722.35, ' times ', 232275360, ' epi', 93600, ' clock ', 124.55, ' min')
(' ave_R ', 852.07, ' std_R ', 361.77, ' min_R ', 27.62, ' max_R ', 1722.35, ' times ', 232541492, ' epi', 93700, ' clock ', 124.69, ' min')
(' ave_R ', 856.86, ' std_R ', 345.7, ' min_R ', 27.62, ' max_R ', 1564.3, ' times ', 232826655, ' epi', 93800, ' clock ', 124.83, ' min')
(' ave_R ', 848.45, ' std_R ', 358.71, ' min_R ', -0.33, ' max_R ', 1564.3, ' times ', 233064891, ' epi', 93900, ' clock ', 124.96, ' min')
(' ave_R ', 851.46, ' std_R ', 362.24, ' min_R ', -0.33, ' max_R ', 1564.3, ' times ', 233341769, ' epi', 94000, ' clock ', 125.1, ' min')
(' ave_R ', 846.17, ' std_R ', 365.86, ' min_R ', -0.33, ' max_R ', 1564.3, ' times ', 233615557, ' epi', 94100, ' clock ', 125.24, ' min')
(' ave_R ', 830.52, ' std_R ', 370.49, ' min_R ', -0.33, ' max_R ', 1564.3, ' times ', 233870350, ' epi', 94200, ' clock ', 125.38, ' min')
(' ave_R ', 835.73, ' std_R ', 370.8, ' min_R ', -0.33, ' max_R ', 1564.3, ' times ', 234152049, ' epi', 94300, ' clock ', 125.52, ' min')
(' ave_R ', 859.91, ' std_R ', 366.98, ' min_R ', -0.33, ' max_R ', 1598.76, ' times ', 234413188, ' epi', 94400, ' clock ', 125.65, ' min')
(' ave_R ', 870.96, ' std_R ', 366.21, ' min_R ', -0.33, ' max_R ', 1598.76, ' times ', 234695393, ' epi', 94500, ' clock ', 125.79, ' min')
(' ave_R ', 876.24, ' std_R ', 363.48, ' min_R ', -0.33, ' max_R ', 1598.76, ' times ', 234969477, ' epi', 94600, ' clock ', 125.93, ' min')
(' ave_R ', 853.45, ' std_R ', 368.59, ' min_R ', -0.33, ' max_R ', 1598.76, ' times ', 235217354, ' epi', 94700, ' clock ', 126.06, ' min')
(' ave_R ', 849.62, ' std_R ', 366.02, ' min_R ', -0.33, ' max_R ', 1598.76, ' times ', 235505020, ' epi', 94800, ' clock ', 126.21, ' min')
(' ave_R ', 858.69, ' std_R ', 351.05, ' min_R ', 18.15, ' max_R ', 1598.76, ' times ', 235785459, ' epi', 94900, ' clock ', 126.35, ' min')
(' ave_R ', 838.83, ' std_R ', 345.57, ' min_R ', 18.15, ' max_R ', 1598.76, ' times ', 236045619, ' epi', 95000, ' clock ', 126.49, ' min')
(' ave_R ', 857.85, ' std_R ', 364.8, ' min_R ', 18.15, ' max_R ', 1662.75, ' times ', 236311316, ' epi', 95100, ' clock ', 126.62, ' min')
(' ave_R ', 874.76, ' std_R ', 368.53, ' min_R ', 18.15, ' max_R ', 1662.75, ' times ', 236564307, ' epi', 95200, ' clock ', 126.76, ' min')
(' ave_R ', 890.07, ' std_R ', 377.09, ' min_R ', 18.15, ' max_R ', 1662.75, ' times ', 236835326, ' epi', 95300, ' clock ', 126.9, ' min')
(' ave_R ', 874.79, ' std_R ', 359.3, ' min_R ', 18.15, ' max_R ', 1662.75, ' times ', 237125702, ' epi', 95400, ' clock ', 127.05, ' min')
(' ave_R ', 871.48, ' std_R ', 365.02, ' min_R ', 18.15, ' max_R ', 1662.75, ' times ', 237400412, ' epi', 95500, ' clock ', 127.19, ' min')
(' ave_R ', 865.47, ' std_R ', 368.82, ' min_R ', 18.15, ' max_R ', 1662.75, ' times ', 237657632, ' epi', 95600, ' clock ', 127.33, ' min')
(' ave_R ', 888.4, ' std_R ', 359.09, ' min_R ', 20.93, ' max_R ', 1662.75, ' times ', 237927738, ' epi', 95700, ' clock ', 127.47, ' min')
(' ave_R ', 854.24, ' std_R ', 365.21, ' min_R ', 20.93, ' max_R ', 1662.75, ' times ', 238161507, ' epi', 95800, ' clock ', 127.6, ' min')
(' ave_R ', 875.73, ' std_R ', 388.68, ' min_R ', -0.02, ' max_R ', 1834.48, ' times ', 238434292, ' epi', 95900, ' clock ', 127.75, ' min')
(' ave_R ', 882.3, ' std_R ', 392.61, ' min_R ', -0.02, ' max_R ', 1834.48, ' times ', 238685137, ' epi', 96000, ' clock ', 127.89, ' min')
(' ave_R ', 859.42, ' std_R ', 390.54, ' min_R ', -0.02, ' max_R ', 1834.48, ' times ', 238939226, ' epi', 96100, ' clock ', 128.04, ' min')
(' ave_R ', 884.41, ' std_R ', 382.33, ' min_R ', -0.02, ' max_R ', 1834.48, ' times ', 239227658, ' epi', 96200, ' clock ', 128.18, ' min')
(' ave_R ', 863.95, ' std_R ', 372.83, ' min_R ', -0.02, ' max_R ', 1834.48, ' times ', 239490584, ' epi', 96300, ' clock ', 128.32, ' min')
(' ave_R ', 861.15, ' std_R ', 380.02, ' min_R ', -0.02, ' max_R ', 1834.48, ' times ', 239768312, ' epi', 96400, ' clock ', 128.47, ' min')
(' ave_R ', 850.24, ' std_R ', 369.08, ' min_R ', -0.02, ' max_R ', 1834.48, ' times ', 240057976, ' epi', 96500, ' clock ', 128.62, ' min')
(' ave_R ', 862.61, ' std_R ', 353.4, ' min_R ', -0.02, ' max_R ', 1834.48, ' times ', 240341616, ' epi', 96600, ' clock ', 128.77, ' min')
(' ave_R ', 873.9, ' std_R ', 374.33, ' min_R ', -0.02, ' max_R ', 1834.48, ' times ', 240617056, ' epi', 96700, ' clock ', 128.91, ' min')
(' ave_R ', 867.76, ' std_R ', 381.03, ' min_R ', -0.02, ' max_R ', 1834.48, ' times ', 240858970, ' epi', 96800, ' clock ', 129.04, ' min')
(' ave_R ', 839.3, ' std_R ', 361.87, ' min_R ', 8.7, ' max_R ', 1672.66, ' times ', 241115938, ' epi', 96900, ' clock ', 129.18, ' min')
(' ave_R ', 842.56, ' std_R ', 360.96, ' min_R ', 8.7, ' max_R ', 1672.66, ' times ', 241393259, ' epi', 97000, ' clock ', 129.32, ' min')
(' ave_R ', 850.31, ' std_R ', 340.81, ' min_R ', 8.7, ' max_R ', 1672.66, ' times ', 241687143, ' epi', 97100, ' clock ', 129.47, ' min')
(' ave_R ', 819.49, ' std_R ', 341.54, ' min_R ', 8.7, ' max_R ', 1672.66, ' times ', 241946092, ' epi', 97200, ' clock ', 129.61, ' min')
(' ave_R ', 822.5, ' std_R ', 336.29, ' min_R ', 8.7, ' max_R ', 1672.66, ' times ', 242224684, ' epi', 97300, ' clock ', 129.75, ' min')
(' ave_R ', 783.57, ' std_R ', 359.96, ' min_R ', -0.22, ' max_R ', 1672.66, ' times ', 242433291, ' epi', 97400, ' clock ', 129.88, ' min')
(' ave_R ', 794.59, ' std_R ', 365.99, ' min_R ', -0.22, ' max_R ', 1672.66, ' times ', 242731508, ' epi', 97500, ' clock ', 130.03, ' min')
(' ave_R ', 779.0, ' std_R ', 381.3, ' min_R ', -0.22, ' max_R ', 1672.66, ' times ', 243003076, ' epi', 97600, ' clock ', 130.17, ' min')
(' ave_R ', 761.04, ' std_R ', 366.21, ' min_R ', -0.22, ' max_R ', 1563.08, ' times ', 243254287, ' epi', 97700, ' clock ', 130.31, ' min')
(' ave_R ', 782.49, ' std_R ', 360.38, ' min_R ', -0.22, ' max_R ', 1563.08, ' times ', 243519670, ' epi', 97800, ' clock ', 130.45, ' min')
(' ave_R ', 786.91, ' std_R ', 359.32, ' min_R ', -0.22, ' max_R ', 1563.08, ' times ', 243807168, ' epi', 97900, ' clock ', 130.6, ' min')
(' ave_R ', 787.1, ' std_R ', 350.25, ' min_R ', -0.22, ' max_R ', 1563.08, ' times ', 244088560, ' epi', 98000, ' clock ', 130.74, ' min')
(' ave_R ', 760.1, ' std_R ', 350.93, ' min_R ', -0.22, ' max_R ', 1563.08, ' times ', 244350223, ' epi', 98100, ' clock ', 130.88, ' min')
(' ave_R ', 747.92, ' std_R ', 349.16, ' min_R ', -0.22, ' max_R ', 1563.08, ' times ', 244597448, ' epi', 98200, ' clock ', 131.01, ' min')
(' ave_R ', 750.65, ' std_R ', 380.91, ' min_R ', -0.29, ' max_R ', 1705.62, ' times ', 244846508, ' epi', 98300, ' clock ', 131.15, ' min')
(' ave_R ', 812.92, ' std_R ', 380.84, ' min_R ', -0.29, ' max_R ', 1705.62, ' times ', 245113769, ' epi', 98400, ' clock ', 131.29, ' min')
(' ave_R ', 793.08, ' std_R ', 375.55, ' min_R ', -0.29, ' max_R ', 1705.62, ' times ', 245376193, ' epi', 98500, ' clock ', 131.43, ' min')
(' ave_R ', 794.39, ' std_R ', 365.91, ' min_R ', -0.29, ' max_R ', 1705.62, ' times ', 245628947, ' epi', 98600, ' clock ', 131.57, ' min')
(' ave_R ', 793.09, ' std_R ', 356.14, ' min_R ', -0.29, ' max_R ', 1705.62, ' times ', 245899328, ' epi', 98700, ' clock ', 131.71, ' min')
(' ave_R ', 788.39, ' std_R ', 365.4, ' min_R ', -0.29, ' max_R ', 1705.62, ' times ', 246150510, ' epi', 98800, ' clock ', 131.85, ' min')
(' ave_R ', 819.38, ' std_R ', 401.18, ' min_R ', -0.29, ' max_R ', 1798.57, ' times ', 246437706, ' epi', 98900, ' clock ', 132.0, ' min')
(' ave_R ', 822.48, ' std_R ', 402.0, ' min_R ', -0.29, ' max_R ', 1798.57, ' times ', 246719446, ' epi', 99000, ' clock ', 132.14, ' min')
(' ave_R ', 851.0, ' std_R ', 418.34, ' min_R ', -0.29, ' max_R ', 1798.57, ' times ', 246991420, ' epi', 99100, ' clock ', 132.28, ' min')
(' ave_R ', 873.21, ' std_R ', 406.53, ' min_R ', -0.29, ' max_R ', 1798.57, ' times ', 247275410, ' epi', 99200, ' clock ', 132.42, ' min')
(' ave_R ', 875.07, ' std_R ', 388.6, ' min_R ', 50.94, ' max_R ', 1798.57, ' times ', 247532210, ' epi', 99300, ' clock ', 132.57, ' min')
(' ave_R ', 841.45, ' std_R ', 376.4, ' min_R ', 35.18, ' max_R ', 1798.57, ' times ', 247792913, ' epi', 99400, ' clock ', 132.71, ' min')
(' ave_R ', 844.58, ' std_R ', 384.56, ' min_R ', -0.12, ' max_R ', 1798.57, ' times ', 248047324, ' epi', 99500, ' clock ', 132.84, ' min')
(' ave_R ', 852.35, ' std_R ', 387.77, ' min_R ', -0.12, ' max_R ', 1798.57, ' times ', 248308317, ' epi', 99600, ' clock ', 132.98, ' min')
(' ave_R ', 853.61, ' std_R ', 395.24, ' min_R ', -0.12, ' max_R ', 1798.57, ' times ', 248564220, ' epi', 99700, ' clock ', 133.12, ' min')
(' ave_R ', 862.19, ' std_R ', 389.41, ' min_R ', -0.17, ' max_R ', 1798.57, ' times ', 248831955, ' epi', 99800, ' clock ', 133.26, ' min')
(' ave_R ', 863.22, ' std_R ', 367.6, ' min_R ', -0.17, ' max_R ', 1666.48, ' times ', 249118470, ' epi', 99900, ' clock ', 133.4, ' min')
(' ave_R ', 875.21, ' std_R ', 385.28, ' min_R ', -0.17, ' max_R ', 1666.48, ' times ', 249387549, ' epi', 100000, ' clock ', 133.54, ' min')
(' ave_R ', 860.38, ' std_R ', 368.07, ' min_R ', -0.17, ' max_R ', 1605.88, ' times ', 249646829, ' epi', 100100, ' clock ', 133.69, ' min')
(' ave_R ', 841.86, ' std_R ', 371.93, ' min_R ', -0.17, ' max_R ', 1605.88, ' times ', 249907206, ' epi', 100200, ' clock ', 133.82, ' min')
(' ave_R ', 844.71, ' std_R ', 381.98, ' min_R ', -0.17, ' max_R ', 1619.03, ' times ', 250172054, ' epi', 100300, ' clock ', 133.96, ' min')
(' ave_R ', 849.82, ' std_R ', 382.44, ' min_R ', -0.17, ' max_R ', 1619.03, ' times ', 250442288, ' epi', 100400, ' clock ', 134.1, ' min')
(' ave_R ', 878.74, ' std_R ', 371.5, ' min_R ', -0.17, ' max_R ', 1619.03, ' times ', 250737501, ' epi', 100500, ' clock ', 134.25, ' min')
(' ave_R ', 887.96, ' std_R ', 375.24, ' min_R ', -0.17, ' max_R ', 1829.2, ' times ', 251018691, ' epi', 100600, ' clock ', 134.39, ' min')
(' ave_R ', 912.95, ' std_R ', 365.32, ' min_R ', -0.17, ' max_R ', 1829.2, ' times ', 251301762, ' epi', 100700, ' clock ', 134.54, ' min')
(' ave_R ', 957.31, ' std_R ', 375.42, ' min_R ', 79.61, ' max_R ', 1829.2, ' times ', 251593159, ' epi', 100800, ' clock ', 134.68, ' min')
(' ave_R ', 932.21, ' std_R ', 375.14, ' min_R ', 79.61, ' max_R ', 1829.2, ' times ', 251858240, ' epi', 100900, ' clock ', 134.82, ' min')
(' ave_R ', 941.51, ' std_R ', 365.17, ' min_R ', 79.61, ' max_R ', 1829.2, ' times ', 252142863, ' epi', 101000, ' clock ', 134.96, ' min')
(' ave_R ', 945.45, ' std_R ', 374.28, ' min_R ', 79.61, ' max_R ', 1884.03, ' times ', 252408204, ' epi', 101100, ' clock ', 135.1, ' min')
(' ave_R ', 959.69, ' std_R ', 385.64, ' min_R ', 79.61, ' max_R ', 1884.03, ' times ', 252665615, ' epi', 101200, ' clock ', 135.24, ' min')
(' ave_R ', 958.96, ' std_R ', 383.2, ' min_R ', 79.61, ' max_R ', 1884.03, ' times ', 252927204, ' epi', 101300, ' clock ', 135.38, ' min')
(' ave_R ', 964.86, ' std_R ', 373.88, ' min_R ', 138.54, ' max_R ', 1884.03, ' times ', 253191569, ' epi', 101400, ' clock ', 135.52, ' min')
(' ave_R ', 949.66, ' std_R ', 390.54, ' min_R ', 117.66, ' max_R ', 1884.03, ' times ', 253463378, ' epi', 101500, ' clock ', 135.66, ' min')
(' ave_R ', 925.89, ' std_R ', 393.64, ' min_R ', 114.22, ' max_R ', 1884.03, ' times ', 253737745, ' epi', 101600, ' clock ', 135.8, ' min')
(' ave_R ', 884.21, ' std_R ', 402.9, ' min_R ', 114.22, ' max_R ', 1884.03, ' times ', 253981948, ' epi', 101700, ' clock ', 135.94, ' min')
(' ave_R ', 844.51, ' std_R ', 392.77, ' min_R ', 114.22, ' max_R ', 1884.03, ' times ', 254235109, ' epi', 101800, ' clock ', 136.08, ' min')
(' ave_R ', 837.5, ' std_R ', 389.07, ' min_R ', 114.22, ' max_R ', 1884.03, ' times ', 254525045, ' epi', 101900, ' clock ', 136.23, ' min')
(' ave_R ', 823.56, ' std_R ', 382.5, ' min_R ', 99.13, ' max_R ', 1884.03, ' times ', 254795514, ' epi', 102000, ' clock ', 136.37, ' min')
(' ave_R ', 813.33, ' std_R ', 377.19, ' min_R ', 99.13, ' max_R ', 1632.86, ' times ', 255056097, ' epi', 102100, ' clock ', 136.51, ' min')
(' ave_R ', 799.65, ' std_R ', 365.16, ' min_R ', 99.13, ' max_R ', 1632.86, ' times ', 255336512, ' epi', 102200, ' clock ', 136.65, ' min')
(' ave_R ', 804.28, ' std_R ', 372.24, ' min_R ', 99.13, ' max_R ', 1729.55, ' times ', 255619138, ' epi', 102300, ' clock ', 136.79, ' min')
(' ave_R ', 796.96, ' std_R ', 394.78, ' min_R ', -0.51, ' max_R ', 1729.55, ' times ', 255857217, ' epi', 102400, ' clock ', 136.93, ' min')
(' ave_R ', 799.35, ' std_R ', 391.94, ' min_R ', -0.51, ' max_R ', 1729.55, ' times ', 256135587, ' epi', 102500, ' clock ', 137.07, ' min')
(' ave_R ', 793.14, ' std_R ', 385.56, ' min_R ', -0.51, ' max_R ', 1729.55, ' times ', 256392173, ' epi', 102600, ' clock ', 137.2, ' min')
(' ave_R ', 813.76, ' std_R ', 380.19, ' min_R ', -0.51, ' max_R ', 1729.55, ' times ', 256670781, ' epi', 102700, ' clock ', 137.35, ' min')
(' ave_R ', 794.88, ' std_R ', 368.57, ' min_R ', -0.51, ' max_R ', 1729.55, ' times ', 256947214, ' epi', 102800, ' clock ', 137.49, ' min')
(' ave_R ', 787.16, ' std_R ', 375.14, ' min_R ', -0.51, ' max_R ', 1729.55, ' times ', 257198575, ' epi', 102900, ' clock ', 137.62, ' min')
(' ave_R ', 778.01, ' std_R ', 373.43, ' min_R ', -0.51, ' max_R ', 1729.55, ' times ', 257468117, ' epi', 103000, ' clock ', 137.76, ' min')
(' ave_R ', 779.1, ' std_R ', 373.2, ' min_R ', -0.51, ' max_R ', 1729.55, ' times ', 257748590, ' epi', 103100, ' clock ', 137.91, ' min')
(' ave_R ', 804.23, ' std_R ', 372.11, ' min_R ', -0.51, ' max_R ', 1729.55, ' times ', 258029275, ' epi', 103200, ' clock ', 138.05, ' min')
(' ave_R ', 805.21, ' std_R ', 356.23, ' min_R ', -0.51, ' max_R ', 1661.58, ' times ', 258312491, ' epi', 103300, ' clock ', 138.19, ' min')
(' ave_R ', 799.16, ' std_R ', 343.45, ' min_R ', 67.41, ' max_R ', 1661.58, ' times ', 258575335, ' epi', 103400, ' clock ', 138.33, ' min')
(' ave_R ', 769.33, ' std_R ', 335.58, ' min_R ', 65.27, ' max_R ', 1534.71, ' times ', 258821746, ' epi', 103500, ' clock ', 138.47, ' min')
(' ave_R ', 783.47, ' std_R ', 336.2, ' min_R ', 65.27, ' max_R ', 1534.71, ' times ', 259079876, ' epi', 103600, ' clock ', 138.6, ' min')
(' ave_R ', 819.83, ' std_R ', 367.41, ' min_R ', 65.27, ' max_R ', 1660.76, ' times ', 259378811, ' epi', 103700, ' clock ', 138.75, ' min')
(' ave_R ', 860.4, ' std_R ', 381.75, ' min_R ', 65.27, ' max_R ', 1771.14, ' times ', 259651382, ' epi', 103800, ' clock ', 138.89, ' min')
(' ave_R ', 875.95, ' std_R ', 381.93, ' min_R ', 36.6, ' max_R ', 1771.14, ' times ', 259939587, ' epi', 103900, ' clock ', 139.04, ' min')
(' ave_R ', 881.76, ' std_R ', 393.42, ' min_R ', 36.6, ' max_R ', 1771.14, ' times ', 260211185, ' epi', 104000, ' clock ', 139.18, ' min')
(' ave_R ', 896.84, ' std_R ', 389.86, ' min_R ', 36.6, ' max_R ', 1771.14, ' times ', 260480411, ' epi', 104100, ' clock ', 139.32, ' min')
(' ave_R ', 900.56, ' std_R ', 398.74, ' min_R ', -0.25, ' max_R ', 1771.14, ' times ', 260757925, ' epi', 104200, ' clock ', 139.46, ' min')
(' ave_R ', 868.14, ' std_R ', 405.16, ' min_R ', -0.25, ' max_R ', 1771.14, ' times ', 260983037, ' epi', 104300, ' clock ', 139.59, ' min')
(' ave_R ', 889.64, ' std_R ', 404.13, ' min_R ', -0.25, ' max_R ', 1771.14, ' times ', 261236714, ' epi', 104400, ' clock ', 139.73, ' min')
(' ave_R ', 906.85, ' std_R ', 403.66, ' min_R ', -0.25, ' max_R ', 1771.14, ' times ', 261487746, ' epi', 104500, ' clock ', 139.86, ' min')
(' ave_R ', 929.56, ' std_R ', 411.61, ' min_R ', -0.25, ' max_R ', 1886.63, ' times ', 261774498, ' epi', 104600, ' clock ', 140.01, ' min')
(' ave_R ', 895.57, ' std_R ', 402.58, ' min_R ', -0.25, ' max_R ', 1886.63, ' times ', 262019140, ' epi', 104700, ' clock ', 140.14, ' min')
(' ave_R ', 860.71, ' std_R ', 395.95, ' min_R ', -0.25, ' max_R ', 1886.63, ' times ', 262285889, ' epi', 104800, ' clock ', 140.28, ' min')
(' ave_R ', 864.75, ' std_R ', 390.26, ' min_R ', -0.25, ' max_R ', 1886.63, ' times ', 262549847, ' epi', 104900, ' clock ', 140.42, ' min')
(' ave_R ', 876.29, ' std_R ', 387.88, ' min_R ', -0.25, ' max_R ', 1886.63, ' times ', 262846211, ' epi', 105000, ' clock ', 140.57, ' min')
(' ave_R ', 883.02, ' std_R ', 381.57, ' min_R ', -0.25, ' max_R ', 1886.63, ' times ', 263119297, ' epi', 105100, ' clock ', 140.71, ' min')
(' ave_R ', 876.42, ' std_R ', 395.86, ' min_R ', -0.23, ' max_R ', 1886.63, ' times ', 263384397, ' epi', 105200, ' clock ', 140.86, ' min')
(' ave_R ', 871.43, ' std_R ', 399.28, ' min_R ', -0.43, ' max_R ', 1886.63, ' times ', 263629367, ' epi', 105300, ' clock ', 140.99, ' min')
(' ave_R ', 864.97, ' std_R ', 388.43, ' min_R ', -0.43, ' max_R ', 1886.63, ' times ', 263903521, ' epi', 105400, ' clock ', 141.13, ' min')
(' ave_R ', 869.12, ' std_R ', 387.49, ' min_R ', -0.43, ' max_R ', 1886.63, ' times ', 264180727, ' epi', 105500, ' clock ', 141.27, ' min')
(' ave_R ', 849.75, ' std_R ', 380.81, ' min_R ', -0.43, ' max_R ', 1766.9, ' times ', 264446833, ' epi', 105600, ' clock ', 141.41, ' min')
(' ave_R ', 853.52, ' std_R ', 388.47, ' min_R ', -0.43, ' max_R ', 1766.9, ' times ', 264698187, ' epi', 105700, ' clock ', 141.54, ' min')
(' ave_R ', 874.59, ' std_R ', 377.12, ' min_R ', -0.43, ' max_R ', 1766.9, ' times ', 264979015, ' epi', 105800, ' clock ', 141.69, ' min')
(' ave_R ', 880.53, ' std_R ', 378.57, ' min_R ', -0.43, ' max_R ', 1766.9, ' times ', 265253604, ' epi', 105900, ' clock ', 141.83, ' min')
(' ave_R ', 856.5, ' std_R ', 374.24, ' min_R ', -0.43, ' max_R ', 1766.9, ' times ', 265521092, ' epi', 106000, ' clock ', 141.97, ' min')
(' ave_R ', 843.54, ' std_R ', 372.32, ' min_R ', -0.43, ' max_R ', 1766.9, ' times ', 265800106, ' epi', 106100, ' clock ', 142.11, ' min')
(' ave_R ', 855.41, ' std_R ', 359.22, ' min_R ', -0.43, ' max_R ', 1741.32, ' times ', 266095459, ' epi', 106200, ' clock ', 142.26, ' min')
(' ave_R ', 869.81, ' std_R ', 358.32, ' min_R ', 72.02, ' max_R ', 1741.32, ' times ', 266343926, ' epi', 106300, ' clock ', 142.39, ' min')
(' ave_R ', 884.23, ' std_R ', 369.93, ' min_R ', 72.02, ' max_R ', 1741.32, ' times ', 266628044, ' epi', 106400, ' clock ', 142.53, ' min')
(' ave_R ', 871.89, ' std_R ', 365.54, ' min_R ', 72.02, ' max_R ', 1741.32, ' times ', 266871959, ' epi', 106500, ' clock ', 142.67, ' min')
(' ave_R ', 865.33, ' std_R ', 371.37, ' min_R ', 72.02, ' max_R ', 1741.32, ' times ', 267113574, ' epi', 106600, ' clock ', 142.81, ' min')
(' ave_R ', 882.23, ' std_R ', 373.14, ' min_R ', 88.83, ' max_R ', 1741.32, ' times ', 267372455, ' epi', 106700, ' clock ', 142.94, ' min')
