Summary of the training: 
(' ave_R ', 465.75, ' std_R ', 282.72, ' min_R ', 47.15, ' max_R ', 1036.76, ' times ', 8533299)
(' ave_R ', 621.39, ' std_R ', 380.78, ' min_R ', -1.37, ' max_R ', 1136.54, ' times ', 8675389)
(' ave_R ', 672.88, ' std_R ', 262.76, ' min_R ', 196.59, ' max_R ', 1156.21, ' times ', 8838760)
(' ave_R ', 599.53, ' std_R ', 315.55, ' min_R ', 24.89, ' max_R ', 1174.66, ' times ', 8991265)
(' ave_R ', 628.58, ' std_R ', 332.92, ' min_R ', 51.44, ' max_R ', 1208.65, ' times ', 9136416)
(' ave_R ', 508.0, ' std_R ', 355.32, ' min_R ', 15.77, ' max_R ', 1109.42, ' times ', 9265541)
(' ave_R ', 651.8, ' std_R ', 319.33, ' min_R ', 11.55, ' max_R ', 1200.54, ' times ', 9407279)
(' ave_R ', 563.17, ' std_R ', 278.2, ' min_R ', 72.87, ' max_R ', 1001.1, ' times ', 9556666)
(' ave_R ', 572.83, ' std_R ', 402.57, ' min_R ', 8.69, ' max_R ', 1189.54, ' times ', 9684753)
(' ave_R ', 644.27, ' std_R ', 271.64, ' min_R ', 129.52, ' max_R ', 1271.54, ' times ', 9847753)
(' ave_R ', 627.46, ' std_R ', 334.27, ' min_R ', 78.4, ' max_R ', 1215.72, ' times ', 9999726)
(' ave_R ', 517.95, ' std_R ', 289.41, ' min_R ', 86.3, ' max_R ', 1110.66, ' times ', 10135996)
(' ave_R ', 749.93, ' std_R ', 277.49, ' min_R ', 243.49, ' max_R ', 1324.07, ' times ', 10296283)
(' ave_R ', 724.09, ' std_R ', 338.27, ' min_R ', -128.39, ' max_R ', 1249.62, ' times ', 10455390)
(' ave_R ', 821.76, ' std_R ', 263.94, ' min_R ', 319.46, ' max_R ', 1181.02, ' times ', 10621098)
(' ave_R ', 613.14, ' std_R ', 379.92, ' min_R ', 35.93, ' max_R ', 1338.31, ' times ', 10762157)
(' ave_R ', 642.46, ' std_R ', 412.23, ' min_R ', 3.35, ' max_R ', 1286.5, ' times ', 10905089)
(' ave_R ', 621.29, ' std_R ', 362.87, ' min_R ', 31.97, ' max_R ', 1177.38, ' times ', 11043237)
(' ave_R ', 639.93, ' std_R ', 280.29, ' min_R ', 138.06, ' max_R ', 1103.94, ' times ', 11197366)
(' ave_R ', 779.16, ' std_R ', 282.76, ' min_R ', 148.36, ' max_R ', 1297.6, ' times ', 11363727)
(' ave_R ', 541.77, ' std_R ', 325.95, ' min_R ', 22.41, ' max_R ', 1068.09, ' times ', 11500797)
(' ave_R ', 760.92, ' std_R ', 334.33, ' min_R ', 93.0, ' max_R ', 1342.75, ' times ', 11659583)
(' ave_R ', 685.57, ' std_R ', 395.12, ' min_R ', -86.21, ' max_R ', 1269.11, ' times ', 11813750)
(' ave_R ', 692.57, ' std_R ', 387.0, ' min_R ', -3.48, ' max_R ', 1306.77, ' times ', 11956018)
(' ave_R ', 483.29, ' std_R ', 344.33, ' min_R ', 9.67, ' max_R ', 1099.63, ' times ', 12085859)
(' ave_R ', 694.39, ' std_R ', 336.2, ' min_R ', 168.23, ' max_R ', 1522.97, ' times ', 12246628)
(' ave_R ', 610.99, ' std_R ', 333.96, ' min_R ', 76.09, ' max_R ', 1238.88, ' times ', 12396747)
(' ave_R ', 688.95, ' std_R ', 380.67, ' min_R ', -4.29, ' max_R ', 1250.29, ' times ', 12548452)
(' ave_R ', 793.91, ' std_R ', 366.9, ' min_R ', 93.06, ' max_R ', 1275.54, ' times ', 12712619)
(' ave_R ', 591.82, ' std_R ', 355.32, ' min_R ', 24.25, ' max_R ', 1151.96, ' times ', 12856226)
(' ave_R ', 765.43, ' std_R ', 360.59, ' min_R ', -106.82, ' max_R ', 1337.73, ' times ', 13020246)
(' ave_R ', 792.48, ' std_R ', 295.52, ' min_R ', 87.75, ' max_R ', 1246.17, ' times ', 13193196)
(' ave_R ', 777.92, ' std_R ', 309.22, ' min_R ', 45.14, ' max_R ', 1165.95, ' times ', 13355556)
(' ave_R ', 695.63, ' std_R ', 353.85, ' min_R ', -80.2, ' max_R ', 1284.48, ' times ', 13518612)
(' ave_R ', 726.09, ' std_R ', 312.69, ' min_R ', 5.56, ' max_R ', 1305.11, ' times ', 13679304)
(' ave_R ', 709.83, ' std_R ', 301.45, ' min_R ', 63.88, ' max_R ', 1154.42, ' times ', 13843998)
(' ave_R ', 766.8, ' std_R ', 371.17, ' min_R ', -19.7, ' max_R ', 1233.63, ' times ', 14001814)
(' ave_R ', 842.17, ' std_R ', 318.25, ' min_R ', 89.61, ' max_R ', 1306.89, ' times ', 14168792)
(' ave_R ', 757.02, ' std_R ', 281.61, ' min_R ', 165.95, ' max_R ', 1223.34, ' times ', 14337246)
(' ave_R ', 644.24, ' std_R ', 317.61, ' min_R ', 151.06, ' max_R ', 1172.84, ' times ', 14496139)
(' ave_R ', 653.7, ' std_R ', 408.88, ' min_R ', 47.24, ' max_R ', 1246.57, ' times ', 14640290)
(' ave_R ', 737.19, ' std_R ', 386.83, ' min_R ', -5.28, ' max_R ', 1229.38, ' times ', 14789944)
(' ave_R ', 796.27, ' std_R ', 345.7, ' min_R ', 56.69, ' max_R ', 1362.6, ' times ', 14950563)
(' ave_R ', 559.96, ' std_R ', 354.25, ' min_R ', 2.75, ' max_R ', 1293.22, ' times ', 15100812)
(' ave_R ', 706.23, ' std_R ', 372.09, ' min_R ', 14.05, ' max_R ', 1266.81, ' times ', 15266657)
(' ave_R ', 854.28, ' std_R ', 352.89, ' min_R ', 124.85, ' max_R ', 1299.89, ' times ', 15432975)
(' ave_R ', 600.75, ' std_R ', 341.58, ' min_R ', 38.18, ' max_R ', 1135.48, ' times ', 15568117)
(' ave_R ', 692.51, ' std_R ', 368.31, ' min_R ', 101.47, ' max_R ', 1400.49, ' times ', 15717530)
(' ave_R ', 910.84, ' std_R ', 217.1, ' min_R ', 456.94, ' max_R ', 1228.31, ' times ', 15896366)
(' ave_R ', 853.12, ' std_R ', 228.56, ' min_R ', 184.97, ' max_R ', 1171.07, ' times ', 16068538)
(' ave_R ', 572.74, ' std_R ', 438.21, ' min_R ', -62.88, ' max_R ', 1370.97, ' times ', 16202847)
(' ave_R ', 855.66, ' std_R ', 252.65, ' min_R ', 310.8, ' max_R ', 1125.1, ' times ', 16375046)
